Module                  Size  Used by
intel_pmc_core        135168  0
snd_seq_device         16384  4 snd_seq,snd_seq_midi,snd_ump,snd_rawmidi
kvm                  1466368  1 kvm_intel
pmt_telemetry          16384  1 intel_pmc_core
iwlwifi               651264  1 iwlmvm
snd_timer              53248  3 snd_seq,snd_hrtimer,snd_pcm
gpu_sched              65536  1 nouveau
pmt_discovery          20480  1 pmt_telemetry
snd                   147456  28 snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_usb_audio,snd_usbmidi_lib,snd_hda_codec,snd_sof,snd_soc_sdca,snd_timer,snd_hda_codec_realtek_lib,snd_compress,snd_hda_codec_alc269,snd_soc_core,snd_ump,snd_pcm,snd_rawmidi
irqbypass              16384  1 kvm
drm_gpuvm              49152  1 nouveau
i2c_i801               36864  0
pmt_class              20480  2 pmt_telemetry,pmt_discovery
rapl                   20480  0
drm_ttm_helper         16384  1 nouveau
input_leds             12288  0
mei_me                 53248  2
joydev                 32768  0
msi_wmi                16384  0
spi_intel_pci          12288  0
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
i2c_smbus              20480  1 i2c_i801
intel_cstate           20480  0
wmi_bmof               12288  0
mxm_wmi                12288  1 nouveau
sparse_keymap          12288  1 msi_wmi
cfg80211             1474560  3 iwlmvm,iwlwifi,mac80211
soundcore              16384  1 snd
spi_intel              36864  1 spi_intel_pci
i2c_mux                16384  1 i2c_i801
mei                   176128  5 mei_hdcp,mei_pxp,mei_me
intel_pch_thermal      20480  0
drm_exec               12288  2 drm_gpuvm,nouveau
intel_vsec             24576  2 intel_pmc_ssram_telemetry,pmt_telemetry
soc_button_array       20480  0
acpi_pad              184320  0
mac_hid                12288  0
i915                 4931584  83
drm_buddy              28672  1 i915
ttm                   131072  3 drm_ttm_helper,i915,nouveau
drm_display_helper    294912  2 i915,nouveau
cec                   106496  2 drm_display_helper,i915
rc_core                73728  1 cec
i2c_algo_bit           16384  2 i915,nouveau
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  3 nft_compat,nf_tables
dmi_sysfs              24576  0
ip_tables              36864  0
x_tables               65536  12 xt_conntrack,xt_cgroup,nft_compat,xt_multiport,xt_tcpudp,xt_CHECKSUM,xt_owner,ipt_REJECT,ip_tables,xt_MASQUERADE,ip6t_REJECT,xt_mark
autofs4                57344  2
r8153_ecm              12288  0
cdc_ether              24576  1 r8153_ecm
usbnet                 61440  2 r8153_ecm,cdc_ether
r8152                 143360  1 r8153_ecm
mii                    20480  2 usbnet,r8152
btrfs                2174976  1
blake2b_generic        20480  0
xor                    24576  1 btrfs
raid6_pq              126976  1 btrfs
hid_logitech_hidpp     65536  0
hid_logitech_dj        36864  0
usbhid                 77824  2 hid_logitech_dj,hid_logitech_hidpp
hid_multitouch         36864  0
hid_generic            12288  0
nvme                   65536  4
polyval_clmulni        12288  0
psmouse               225280  0
r8169                 143360  0
ghash_clmulni_intel    12288  0
nvme_core             241664  5 nvme
i2c_hid_acpi           12288  0
realtek                49152  1
serio_raw              20480  0
i2c_hid                40960  1 i2c_hid_acpi
nvme_keyring           20480  1 nvme_core
intel_lpss_pci         28672  0
ahci                   49152  0
nvme_auth              28672  1 nvme_core
intel_lpss             12288  1 intel_lpss_pci
libahci                57344  1 ahci
hid                   270336  7 i2c_hid,usbhid,hid_multitouch,snd_soc_sdca,hid_generic,hid_logitech_dj,hid_logitech_hidpp
idma64                 20480  0
video                  77824  3 msi_wmi,i915,nouveau
wmi                    28672  5 video,wmi_bmof,msi_wmi,mxm_wmi,nouveau
pinctrl_cannonlake     36864  2
aesni_intel            94208  7
